Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability,Aspect_Category
German,PostDoc,hochschule,269,85,168,16,0.3688353559203086,0.513342358698189,0.1178222791911501,hochschule
German,Professor,hochschule,241,104,127,10,0.4291664534306378,0.4657991616464996,0.1050343833345904,hochschule
German,Unknown,hochschule,147,47,93,7,0.3858228120572713,0.4977189317649724,0.116458254289769,hochschule
German,Others,idee,86,22,34,30,0.2911227218655133,0.3549603673434535,0.353916905571295,perspektive
German,PostDoc,idee,82,26,37,19,0.3418211435172252,0.3804290894782398,0.2777497618027577,perspektive
German,Professor,idee,72,23,29,20,0.3667589865831865,0.3567478043130702,0.2764932132688247,perspektive
German,Others,info,51,3,44,4,0.1101799265061523,0.7420797774604723,0.1477402964351224,jahr
German,Others,innovation,62,14,29,19,0.3279295339579544,0.4016518816051463,0.2704185779326625,mittelbau
German,PostDoc,innovation,112,39,45,28,0.3706242724853967,0.4059777124618579,0.2233980141629997,mittelbau
German,Professor,innovation,70,21,33,16,0.3705686243517058,0.3969738984214408,0.2324574728097234,mittelbau
German,Others,jahr,578,158,357,63,0.3319288060249548,0.490210499840057,0.1778606952532198,jahr
German,PD,jahr,112,39,60,13,0.3557694908231497,0.4839973546830671,0.1602331584519041,jahr
German,PhD Student,jahr,284,83,171,30,0.3480370546113962,0.4724399602224289,0.1795229838478943,jahr
German,PostDoc,jahr,897,249,556,92,0.3419617100358175,0.4808653486018363,0.1771729409501554,jahr
German,Professor,jahr,693,214,417,62,0.3505436161258842,0.4787378471081305,0.1707185355551315,jahr
German,Unknown,jahr,649,198,386,65,0.3558637093987964,0.4711307552119341,0.1730055347822595,jahr
German,Others,karriere,100,32,61,7,0.3582515033707023,0.5004575419053435,0.1412909578345716,arbeit
German,PostDoc,karriere,187,55,113,19,0.3525713977807346,0.4748869369872273,0.1725416656553665,arbeit
German,Professor,karriere,142,50,86,6,0.3719201274609691,0.48847959006966,0.1396002813872002,arbeit
German,Unknown,karriere,98,42,53,3,0.4298165960579502,0.4487908772211902,0.121392521522559,arbeit
German,Others,kind,75,35,34,6,0.4482118235031764,0.4135193242132663,0.1382688541089495,stelle
German,PostDoc,kind,174,72,90,12,0.4579654398920207,0.408888089716777,0.1331464753529035,stelle
German,Professor,kind,92,38,45,9,0.4401586463917856,0.4210597989554314,0.1387815537315833,stelle
German,Unknown,kind,104,57,41,6,0.5173207290040759,0.3635056921854042,0.1191735817746331,stelle
German,Others,kollege,126,36,67,23,0.3417698573321104,0.4295681508937998,0.2286619900297078,forschung
German,PostDoc,kollege,143,53,69,21,0.3767232246228031,0.4407845634341865,0.1824922080353631,forschung
German,Professor,kollege,135,55,56,24,0.4137807518381763,0.377276871436172,0.2089423780295032,forschung
German,Unknown,kollege,87,33,39,15,0.4129867215223353,0.3773871481675526,0.20962612109323,forschung
German,Others,kommentar,52,25,22,5,0.4751962083033644,0.3671766451488321,0.1576271475686763,zukunft
German,PostDoc,kommentar,59,30,21,8,0.4467725682119697,0.376463639186853,0.1767637936587808,zukunft
German,Professor,kommentar,54,24,20,10,0.4428324528659383,0.3597111705414675,0.1974563734881856,zukunft
German,Others,land,135,48,81,6,0.3958772238757875,0.4788390441073312,0.1252837338588304,deutschland
German,PostDoc,land,121,53,60,8,0.4617326113064427,0.4050181107210719,0.1332492767025,deutschland
German,Professor,land,108,42,62,4,0.4358941870569079,0.4589002114824123,0.1052056004776171,deutschland
German,Unknown,land,72,35,28,9,0.5109683899208903,0.3551517478190362,0.1338798636958623,deutschland
German,Others,lehre,70,22,44,4,0.3874811380569424,0.4464451616363866,0.1660736999208373,leute
German,PostDoc,lehre,122,35,70,17,0.3246066025534614,0.4701563437606711,0.2052370587394374,leute
German,Professor,lehre,110,42,53,15,0.3915511726655743,0.3979381006549705,0.2105107248506763,leute
German,Others,leute,116,59,46,11,0.4830537100226201,0.3750752903328374,0.1418710045018715,leute
German,PD,leute,56,42,13,1,0.5933350153001291,0.3138445686948086,0.0928204070909747,leute
German,PhD Student,leute,57,32,17,8,0.5328251369166792,0.3076442051352116,0.1595306499746807,leute
German,PostDoc,leute,232,115,99,18,0.4746084353758086,0.3945814189741966,0.130810147576869,leute
German,Professor,leute,203,86,76,41,0.4292575657147492,0.354759479611378,0.2159829540866349,leute
German,Unknown,leute,157,84,60,13,0.4934929638365462,0.3615220944592907,0.1449849464497558,leute
German,Others,mensch,217,107,91,19,0.4789315927773714,0.3758645921876903,0.1452038184211757,mensch
German,PhD Student,mensch,73,39,27,7,0.468682631901274,0.3893253732829878,0.1419919913711204,mensch
German,PostDoc,mensch,187,92,75,20,0.4778100344984927,0.3792767003577023,0.142913266528338,mensch
